,MSE,Pearson,Spearman
CREB1,1.9483307600021362,-0.9237437921302255,0.9383458646616539
BHLHE40,1.8260209560394287,-0.8957627972509296,0.9052631578947368
DDIT3,1.8973926305770874,-0.911072733875807,0.9491228070175438
HARS,0.1731066107749939,0.9864700824223515,0.9333333333333333
DAD1,0.11492099612951279,0.9628484472492711,0.9859649122807018
DDRGK1,0.09157894551753998,0.9659066460030947,0.9894736842105263
SAMM50,0.11111237853765488,0.9784728867903287,0.9701754385964911
CAD,0.5951098203659058,0.7258407724946799,0.9503759398496241
GNPNAT1,0.21032041311264038,0.8992743159572529,0.987719298245614
TTI2,0.20034532248973846,0.9125385448044364,0.9929824561403509
MANF,0.24457226693630219,0.8975020722475363,0.980701754385965
TARS,0.3415546119213104,0.8095170759410119,0.980701754385965
EIF2B2,0.03772982582449913,0.9882715834754928,0.9894736842105263
ARHGAP22,0.19937413930892944,0.9075189823832917,0.9578947368421054
SRP72,0.20949631929397583,0.9222920306319662,0.9947368421052631
TMED10,0.1437501162290573,0.9514381429504626,0.9912280701754386
COPB1,0.2240319699048996,0.90144699174821,0.9879699248120299
FECH,0.09556158632040024,0.9446458514867249,0.9894736842105262
DHDDS,0.5709662437438965,0.7168749734355975,0.9157894736842105
CARS,0.4273766279220581,0.9504698438082564,0.7894736842105263
TMED2,0.1878146380186081,0.93053989167892,0.9894736842105263
